similar,"n. 类似物
adj. 相似的"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似
"
boundary,n. 边界；范围；分界线
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的
"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动
"
interval,n. 间隔；间距；幕间休息
area,"n. 区域，地区；面积；范围
"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
recipe,n. 食谱；[临床] 处方；秘诀；烹饪法
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音
"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
fluent,adj. 流畅的，流利的；液态的；畅流的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
ambiguous,adj. 模糊不清的；引起歧义的
apparent,adj. 显然的；表面上的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
hero,n. 英雄；男主角，男主人公
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对
"
explicit,adj. 明确的；清楚的；直率的；详述的
origin,n. 起源；原点；出身；开端
arbitrary,adj. [数] 任意的；武断的；专制的
data,"n. 数据（datum的复数）；资料
"
database,n. 数据库，资料库
conscious,adj. 意识到的；故意的；神志清醒的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
comprehension,n. 理解；包含
major,"adj. 主要的；重要的；主修的；较多的
n. [人类] 成年人；主修科目；陆军少校
vi. 主修
"
majority,n. 多数；成年
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地
"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
sunlight,"n. 日光
"
flashlight,n. 手电筒；闪光灯
modest,"adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服
"
gentleman,n. 先生；绅士；有身份的人
prohibit,vt. 阻止，禁止
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起
"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
director,"n. 主任，主管；导演；人事助理
"
directory,"n. [计] 目录；工商名录；姓名地址录
adj. 指导的；咨询的"
direction,n. 方向；指导；趋势；用法说明
limit,"n. 限制；限度；界线
vt. 限制；限定"
restriction,n. 限制；约束；束缚
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
cheerful,adj. 快乐的；愉快的；高兴的
guilty,adj. 有罪的；内疚的
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴
"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会
vi. 举行或参加（系列）会议"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
punishment,n. 惩罚；严厉对待，虐待
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距
"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
belong,vi. 属于，应归入；居住；适宜；应被放置
occur,vi. 发生；出现；存在
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humourous,"a. 富幽默感的, 滑稽的"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
memory,"n. 记忆，记忆力；内存，[计] 存储器；回忆
"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
role,"n. 角色；任务
"
success,n. 成功，成就；胜利；大获成功的人或事物
successful,adj. 成功的；一帆风顺的
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起
"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖
"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地
"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
cater,"vt. 投合，迎合；满足需要；提供饮食及服务
"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻
"
adapt,"vi. 适应
vt. 使适应；改编"
adaptation,n. 适应；改编；改编本，改写本
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕
"
servant,"n. 仆人，佣人；公务员；雇工
"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的
"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
construct,"n. 构想，概念
vt. 建造，构造；创立"
construction,n. 建设；建筑物；解释；造句
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
hardly,adv. 几乎不，简直不；刚刚
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生
"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
unfortunate,adj. 不幸的；令人遗憾的；不成功的
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上
"
lucky,adj. 幸运的；侥幸的
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behaviour,n. 行为；习性；运行状况（=behavior）
behavior,n. 行为，举止；态度；反应
truth,n. 真理；事实；诚实；实质
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductor,n. 导体；售票员；领导者；管理人
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑
"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的
"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
conservation,n. 保存，保持；保护
conservative,"n. 保守派，守旧者
adj. 保守的"
amaze,vt. 使吃惊
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
amuse,vt. 娱乐；消遣；使发笑；使愉快
amusement,n. 消遣，娱乐；乐趣
confuse,vt. 使混乱；使困惑
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
aspect,n. 方面；方向；形势；外貌
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走
"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出
"
tourism,n. 旅游业；游览
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decoration,n. 装饰，装潢；装饰品；奖章
classify,vt. 分类；分等
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
equip,vt. 装备，配备
equipment,n. 设备，装备；器材
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居
"
settlement,n. 解决，处理；[会计] 结算；沉降；殖民
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的
"
fierce,"adj. 凶猛的；猛烈的；暴躁的
"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
potential,"n. 潜能；可能性；[电] 电势
adj. 潜在的；可能的；势的"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
evident,adj. 明显的；明白的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
choose,"vt. 选择，决定
vi. 选择，挑选"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见
"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼
"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂
"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄
"
various,adj. 各种各样的；多方面的
diverse,adj. 不同的；多种多样的；变化多的
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
task,"n. 工作，作业；任务
vt. 分派任务"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
shortly,adv. 立刻；简短地；唐突地
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气
"
topic,n. 主题（等于theme）；题目；一般规则；总论
subject,"n. 主题；科目；[语] 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subjective,adj. 主观的；个人的；自觉的
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担
"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
reality,n. 现实；实际；真实
ignore,vt. 驳回诉讼；忽视；不理睬
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历
"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
misunderstand,vt. 误解；误会
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬
"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶
"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
district,n. 区域；地方；行政区
zone, [地名] 地带、地区（德语）
department,n. 部；部门；系；科；局
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤
"
fact,n. 事实；实际；真相
deed,"n. 行动；功绩；证书；[法] 契据
vt. 立契转让"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
enthusiastic,adj. 热情的；热心的；狂热的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
eager,"adj. 渴望的；热切的；热心的
"
honest,adj. 诚实的，实在的；可靠的；坦率的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地
"
sincerely,adv. 真诚地；由衷地，诚恳地
devote,vt. 致力于；奉献
